Matrix Size,CPU Avg Time (ms),GPU Avg Time (ms),Tiled GPU Avg Time (ms)
100,3.00,0.00,0.22
100,3.00,0.00,0.20
100,3.00,0.00,0.20
100,3.00,0.00,0.20
100,3.00,0.00,0.20
100,3.00,0.00,0.20
100,3.00,0.00,0.20
100,2.00,0.00,0.20
100,2.00,0.00,0.20
100,2.00,0.00,0.20
250,41.00,0.01,2.52
250,42.00,0.00,2.52
250,41.00,0.00,2.58
250,41.00,0.00,2.54
250,41.00,0.00,2.54
250,41.00,0.01,2.80
250,41.00,0.01,2.53
250,42.00,0.00,2.53
250,41.00,0.00,2.55
250,41.00,0.00,2.55
500,329.00,0.01,16.49
500,329.00,0.01,16.48
500,329.00,0.01,16.48
500,329.00,0.01,17.02
500,329.00,0.01,16.97
500,329.00,0.01,16.87
500,330.00,0.01,16.48
500,330.00,0.01,16.49
500,328.00,0.01,16.51
500,329.00,0.01,17.03
1000,2742.00,0.01,132.07
1000,2652.00,0.01,296.26
1000,2673.00,0.01,129.51
1000,2728.00,0.01,143.78
1000,2685.00,0.01,362.65
1000,2678.00,0.01,341.49
1000,2684.00,0.00,327.31
1000,2679.00,0.01,317.58
1000,2678.00,0.01,351.35
1000,2688.00,0.01,259.46
1500,9090.00,0.04,698.95
1500,9110.00,0.04,688.83
1500,9106.00,0.05,686.98
1500,9148.00,0.05,681.96
1500,9425.00,0.01,574.05
1500,9104.00,0.01,675.34
1500,9149.00,0.01,632.46
1500,9045.00,0.01,556.35
1500,9010.00,0.07,583.56
1500,9001.00,0.01,596.76
