Matrix Size,CPU Avg Time (ms),GPU Avg Time (ms),Tiled GPU Avg Time (ms)
100,3.00,0.00,0.19
100,3.00,0.00,0.18
100,2.00,0.00,0.17
100,2.00,0.00,0.17
100,2.00,0.00,0.17
100,3.00,0.00,0.18
100,2.00,0.00,0.17
100,2.00,0.00,0.17
100,3.00,0.00,0.17
100,3.00,0.00,0.17
250,41.00,0.01,1.00
250,41.00,0.00,1.80
250,41.00,0.00,1.04
250,41.00,0.00,1.07
250,41.00,0.00,1.08
250,41.00,0.00,1.04
250,41.00,0.01,1.07
250,41.00,0.00,1.01
250,42.00,0.01,1.02
250,41.00,0.00,1.05
500,329.00,0.01,6.81
500,330.00,0.01,6.46
500,329.00,0.01,6.45
500,329.00,0.01,6.46
500,329.00,0.01,6.45
500,332.00,0.01,6.37
500,329.00,0.01,6.46
500,330.00,0.01,6.46
500,330.00,0.01,6.45
500,329.00,0.01,6.45
1000,2649.00,0.01,194.59
1000,2649.00,0.01,315.59
1000,2650.00,0.00,248.47
1000,2649.00,0.01,260.07
1000,2656.00,0.01,252.65
1000,2648.00,0.01,239.49
1000,2648.00,0.00,232.59
1000,2648.00,0.01,261.73
1000,2647.00,0.00,242.64
1000,2649.00,0.06,257.53
1500,9036.00,0.01,379.26
1500,9047.00,0.01,347.04
1500,9043.00,0.00,350.18
1500,9035.00,0.01,358.88
1500,9058.00,0.00,339.60
1500,9075.00,0.00,319.67
1500,9069.00,0.00,325.09
1500,9063.00,0.00,332.97
1500,9056.00,0.01,335.37
1500,9061.00,0.01,333.75
